Coaster_Name,Length,Speed,Location,Status,Manufacturer,Height_Restriction,Year_Introduced,latitude,longitude,Type_Main,Opening_Date,speed_mph,height_ft,Inversions,Gforce
Switchback Railway,600 ft (180 m),6 mph (9.7 km/h),Coney Island,Removed,LaMarcus Adna Thompson,0,1884,40.574,-73.978,Wood,1884-06-16,6.0,,0,2.9
Flip Flap Railway,,,Sea Lion Park,Removed,Lina Beecher,0,1895,40.578,-73.979,Wood,1895-01-01,,,1,12.0
Switchback Railway (Euclid Beach Park),,,"Cleveland, Ohio, United States",Closed,,0,1896,41.58,-81.57,Other,,,,0,
Loop the Loop (Coney Island),,,Other,Removed,Edwin Prescott,0,1901,40.5745,-73.978,Steel,1901-01-01,,,1,
Loop the Loop (Young's Pier),,,Other,Removed,Edwin Prescott,0,1901,39.3538,-74.4342,Steel,1901-01-01,,,1,
Cannon Coaster,,,Coney Island,Removed,George Francis Meyer,0,1902,40.575,-73.98,Wood,1902-01-01,,,0,
Leap-The-Dips,"1,452 ft (443 m)",10 mph (16 km/h),Lakemont Park,Operating,Federal Construction Company,0,1902,,,Wood,1902-01-01,10.0,,0,
Figure Eight (Euclid Beach Park),,,"Cleveland, Ohio, United States",Closed,,0,1904,41.58,-81.57,Other,,,,0,
Drop the Dip,,,Coney Island,Removed,Arthur Jarvis,0,1907,40.5744,-73.9786,Other,1907-06-06,,,0,
Scenic Railway (Euclid Beach Park),,,"Cleveland, Ohio, United States",Closed,,0,1907,41.58,-81.57,Other,,,,0,
Loop the Loop (Olentangy Park),,,Olentangy Park,Removed,Lina Beecher,0,1908,40.0204,-83.0143,Steel,1908-01-01,,,1,
Aero Dips,,,"Cleveland, Ohio, United States",Closed,,0,1909,41.58,-81.57,Other,,,,0,
Backety-Back Scenic Railway,,10 mph (16 km/h),Crystal Beach,Removed,,0,1909,42.8675,-79.0592,Wood,1909-01-01,10.0,,0,
Racer (1910 roller coaster),"4,500 ft (1,400 m)",40 mph (64 km/h),Kennywood,Operating,Charlie Mach,117,1910,40.3869,-79.8619,Wood,1927-01-01,40.0,,0,
Derby Racer,,,Revere Beach,Removed,Fred W. Pearce,0,1911,42.42,-70.986,Wood,1911-01-01,,,0,
The Great Scenic Railway,"967 m (3,173 ft)",60 km/h (37 mph),Luna Park Melbourne,Operating,LaMarcus Thompson,100,1912,,,Wood,1912-12-01,37.3,52.5,0,
Zippin Pippin,"2,865 ft (873 m)",40 mph (64 km/h),Other,,The Gravity Group,122,1912,,,Wood,,40.0,,0,
Racing Coaster,,,"Cleveland, Ohio, United States",Closed,,0,1913,41.58,-81.57,Other,,,,0,
Whirl Pool Dips,,,Tolchester Beach Park,Removed,,0,1913,39.214,-76.231,Wood,1913-01-01,,,0,
Green Dragon (Lake Compounce),,,Lake Compounce,Removed,,0,1914,41.642,-72.923,Wood,1914-01-01,,,0,
The Wild One (roller coaster),"4,000 ft (1,200 m)",53 mph (85 km/h),Six Flags America,,Dinn Corporation,122,1917,38.9092,-76.7725,Wood,,53.0,,0,
Jack Rabbit (Clementon Park),"1,380 ft (420 m)",,Clementon Park,Removed,Philadelphia Toboggan Coasters,0,1919,39.8041,-74.9844,Wood,1919-01-01,,,0,
Jack Rabbit (Kennywood),"2,132 ft (650 m)",45 mph (72 km/h),Kennywood,Operating,Harry C. Baker,107,1920,40.3867,-79.8628,Wood,1920-01-01,45.0,,0,
Jack Rabbit (Seabreeze),"2,130 ft (650 m)",42 mph (68 km/h),Seabreeze Amusement Park,Operating,Harry C. Baker,122,1920,43.2316,-77.5432,Wood,1920-01-01,42.0,,0,
Scenic Railway (roller coaster),"3,000 ft (910 m)",35 mph (56 km/h),Dreamland Margate,Operating,,0,1920,51.3853,1.3775,Wood,1920-07-03,35.0,,0,
Roller Coaster (Lagoon),"762 m (2,500 ft)",45 mph (72 km/h),Lagoon Amusement Park,Operating,,117,1921,40.9849,-111.8951,Wood,1921-07-15,45.0,62.0,0,
Big Dipper (Blackpool Pleasure Beach),"3,300 ft (1,000 m)",40 mph (64 km/h),Blackpool Pleasure Beach,Operating,William Strickler,117,1923,53.7892,-3.0569,Wood,1923-08-23,40.0,,0,3.7
Wild Cat (Hersheypark),"2,331 ft (710 m)",,Hersheypark,Removed,Philadelphia Toboggan Coasters,0,1923,40.2882,-76.6535,Wood,1923-06-16,,,0,
The Bobs (roller coaster),"3,235 ft (986 m)",50 mph (80 km/h),Riverview Park,Removed,Prior and Church,0,1924,41.9407,-87.6924,Wood,1924-01-01,50.0,,0,
Giant Dipper,"2,640 ft (800 m)",55 mph (89 km/h),Santa Cruz Beach Boardwalk,Operating,Arthur Looff,127,1924,36.9647,-122.0153,Wood,1924-05-17,55.0,,0,
Pippin (roller coaster),"3,250 ft (990 m)",55 mph (89 km/h),Kennywood,Operating,,132,1924,40.3889,-79.865,Wood,1968-01-01,55.0,,0,
The Thriller (roller coaster),,,"Cleveland, Ohio, United States",Closed,,0,1924,41.58,-81.57,Other,,,,0,
Thunderhawk (Dorney Park),"2,767 ft (843 m)",45 mph (72 km/h),Dorney Park & Wildwater Kingdom,Operating,Philadelphia Toboggan Coasters,122,1924,40.5798,-75.5355,Wood,1924-03-30,45.0,,0,
Big Dipper (Geauga Lake),"2,680 ft (820 m)",32 mph (51 km/h),Geauga Lake,Removed,,122,1925,41.3491,-81.378,Wood,1925-01-01,32.0,,0,
Cyclone (Revere Beach),"3,600 ft (1,100 m)",45 mph (72 km/h),Revere Beach,Removed,Traver Engineering,0,1925,42.42,-70.986,Wood,1925-01-01,45.0,,0,
Giant Dipper (Belmont Park),"2,600 ft (790 m)",48 mph (77 km/h),Other,Operating,"Frank Prior, Fredrick Church",127,1925,,,Wood,1925-07-04,48.0,,0,
Jazz Railway,"1,200 ft (370 m)",,Rocky Glen Park,Removed,Traver Engineering,0,1925,41.3533,-75.7059,Wood,1925-01-01,,,0,
Thunderbolt (1925 roller coaster),,,Coney Island,Removed,,0,1925,40.5739,-73.9825,Wood,1925-01-01,,,0,
Thunderbolt (Savin Rock),"5,000 ft (1,500 m)",,Savin Rock,Removed,Traver Engineering,0,1925,41.257,-72.95,Wood,1925-05-05,,,0,
Crystal Beach Cyclone,"2,953 ft (900 m)",60 mph (97 km/h),Crystal Beach Park,Removed,Traver Engineering,0,1926,42.8617,-79.0598,Wood,1926-01-01,60.0,,0,4.0
Sesquicentennial Cyclone,"2,000 ft (610 m)",,Sesquicentennial Exposition,Removed,Traver Engineering,0,1926,39.9087,-75.1733,Wood,1926-05-31,,,0,
Tornado (Coney Island),"2,970 ft (910 m)",,Coney Island,Removed,,0,1926,40.574,-73.979,Wood,1926-01-01,,,0,
Coney Island Cyclone,"2,640 ft (800 m)",60 mph (97 km/h),"Luna Park, Coney Island",Operating,,137,1927,40.5742,-73.9778,Other,1927-06-26,60.0,,0,3.75
Cyclone (Palisades Amusement Park),,,Palisades Amusement Park,Removed,Traver Engineering,0,1927,40.8281,-73.9778,Wood,1927-09-10,,,0,
Lightning (Revere Beach),,,Revere Beach,Removed,Traver Engineering,0,1927,42.42,-70.986,Wood,1927-07-02,,,0,
Racer (Kennywood),"4,500 ft (1,400 m)",40 mph (64 km/h),Kennywood,Operating,Charlie Mach,117,1927,40.3869,-79.8619,Wood,1927-01-01,40.0,,0,
Wildcat (Lake Compounce),"2,746 ft (837 m)",48 mph (77 km/h),Lake Compounce,Operating,Philadelphia Toboggan Coasters,122,1927,41.6408,-72.9231,Wood,1927-01-01,48.0,,0,
Zip (roller coaster),"2,500 ft (760 m)",,Oaks Amusement Park,Removed,Traver Engineering,0,1927,45.473,-122.6606,Wood,1927-01-01,,,0,
Airplane Coaster,"3,500 ft (1,100 m)",40 mph (64 km/h),Playland,Removed,Frank W. Darling,0,1928,40.9658,-73.6739,Wood,1928-05-26,40.0,,0,
Montaña Suiza,"1,312.3 ft (400.0 m)",31 mph (50 km/h),Monte Igueldo Amusement Park,Operating,,0,1928,43.3207,-2.0107,Other,1928-01-01,31.0,,0,
Dragon Coaster (Playland),"1,036 m (3,399 ft)",,Playland,Operating,,122,1929,40.9675,-73.6739,Wood,1929-01-01,,78.7,0,
Flying Turns (Euclid Beach Park),,,"Cleveland, Ohio, United States",Closed,,0,1930,41.58,-81.57,Other,,,,0,
Yankee Cannonball,"609.6 m (2,000 ft)",56.3 km/h (35.0 mph),Canobie Lake Park,Operating,Philadelphia Toboggan Coasters,0,1930,42.7953,-71.2492,Wood,1930-01-01,35.0,65.0,0,
Roller Coaster (Great Yarmouth Pleasure Beach),"3,223.10 ft (982.40 m)",45 mph (72 km/h),Great Yarmouth Pleasure Beach,Operating,,0,1932,52.5928,1.7361,Wood,1932-05-01,45.0,,0,
Nickelodeon Streak,"2,293 ft (699 m)",35 mph (56 km/h),Blackpool Pleasure Beach,Operating,,117,1933,53.7908,-3.0544,Wood,1933-01-01,35.0,,0,3.0
Zipper Dipper,,,Blackpool Pleasure Beach,Operating,,0,1934,53.7902,-3.0539,Other,1934-01-01,,,0,
Big Dipper (Luna Park Sydney),"2,623 ft (799 m)",58 mph (93 km/h),Other,,,0,1935,,,Wood,,58.0,,0,
Grand National (roller coaster),"3,302 ft (1,006 m)",40 mph (64 km/h),Blackpool Pleasure Beach,Closed,,117,1935,53.7919,-3.0531,Wood,1935-01-01,40.0,,0,3.2
Blue Streak (Conneaut Lake),"2,900 ft (880 m)",50 mph (80 km/h),Conneaut Lake Park,Closed,,0,1937,41.6349,-80.318,Wood,1938-05-23,50.0,,0,
Rollo Coaster,900 ft (270 m),25 mph (40 km/h),Idlewild and Soak Zone,Operating,Philadelphia Toboggan Coasters,107,1938,40.2602,-79.2814,Wood,1938-01-01,25.0,,0,
Cyclone (Lakeside Amusement Park),"2,800 ft (850 m)",55 mph (89 km/h),Lakeside Amusement Park,Operating,,122,1940,39.7808,-105.054,Wood,1940-05-17,55.0,,0,
Flyer Comet (Whalom Park),"2,640 ft (800 m)",40 mph (64 km/h),Whalom Park,Removed,National Amusement Devices,0,1940,42.5762,-71.746,Wood,1940-01-01,40.0,,0,
Giant Skyrocket,"6,600 ft (2,000 m)",,Other,,Lake Contrary Amusement Park,0,1941,,,Wood,,,,0,
Thunderbolt (Six Flags New England),"2,600 ft (790 m)",40 mph (64 km/h),Six Flags New England,Operating,Joseph E. Drambour,122,1941,42.0389,-72.6133,Wood,1941-01-01,40.0,,0,
